Region,Office PBI,Project Title,Transparency Portal,Country TRANSPARENCY,Budget,Expenses from TP,EXPENSES without minos
RBA,Burundi,UNDP CLIMATE PROMISE BURUNDI,https://open.undp.org/projects/00126069,BDI,208147,147893,147893
RBEC,Regional Bureau for Europe and the CIS,Dinaric Karst Aquifer System SAP - PPG,https://open.undp.org/projects/00108122,Regional Center Istanbul,155399.00,148772.00,148772
RBAP,Maldives,Eliminating POPs through Sound Management of Chemicals,https://open.undp.org/projects/00104898,MDV,201076.00,149139.00,149139
RBEC,Turkmenistan,Developing a National Adaptation Planning Process in Tur,https://open.undp.org/projects/00102379,TKM,801467,154652,154652
RBA,Gabon,Forest Landscape Governance,https://open.undp.org/projects/00131063,GAB,198463,160010,160010
RBAP,China,Environmental Governance and Sustainable Development,https://open.undp.org/projects/00110563,CHN,244330,163932,163932
RBA,Namibia,CUVKUN Water Security&Community Resilience Building,https://open.undp.org/projects/00128662,NAM,300073,164896,164896
RBEC,Uzbekistan,Leveraging Nationally Determined Contributions (NDCs),https://open.undp.org/projects/00141102,UZB,550630,172014,172014
RBEC,Kyrgyzstan,UN Support for Strengthening Disaster Preparedness,https://open.undp.org/projects/00068284,KGZ,397373,176275,176275
RBAS,Somalia,Integrated Water Resources Management,https://open.undp.org/projects/00106605,SOM,200000,183848,183848
RBA,South Africa,Integrated Transboundary River Basin Management,https://open.undp.org/projects/00124678,ZAF,285639,185155,185155
RBA,Ghana,Development of Minamata Initial Assessment (MIA,https://open.undp.org/projects/00095383,GHA,205684,199502,199502
RBEC,Serbia,Mercury Initial Assessment in the Republic of Serbia,https://open.undp.org/projects/00095474,SRB,200420.00,199998.00,199998
RBA,Guinea,PPG projet Guinee Forestiere PIMS 6016,https://open.undp.org/projects/00124409,GIN,204001,200000,200000
RBA,Guinea,Gestion Int̩gr̩e des Ressources Naturelles,https://open.undp.org/projects/00107772,GIN,200001,200000,200000
RBAS,Lebanon,Decentralised Waste management Integrated Response,https://open.undp.org/projects/00135923,LBN,847980.00,214055.00,214055
RBEC,Uzbekistan,Assisted Afforestation of the Vulnerable Terrains,https://open.undp.org/projects/00145541,UZB,500002,217089,217089
RBAP,Bhutan,Advancing Climate Resilience of Water Sector in Bhutan,https://open.undp.org/projects/00093875,BTN,264088,219415,219415
